Name,Points,PerKr,URL,ImgURL
Björn Borg,25,100,https://onlineshopping.flysas.com/se/bjorn-borg/7144/,https://onlineshopping.flysas.com/Images/Shops/bjorn-borg/se.jpg
Black Iron Horse,25,100,https://onlineshopping.flysas.com/se/black-iron-horse/19516/,https://onlineshopping.flysas.com/Images/Shops/black-iron-horse/se.jpg
Blue Tomato,25,100,https://onlineshopping.flysas.com/se/blue-tomato/7160/,https://onlineshopping.flysas.com/Images/Shops/blue-tomato/se.jpg
Bodystore,25,100,https://onlineshopping.flysas.com/se/bodystore.com/7325/,https://onlineshopping.flysas.com/Images/Shops/bodystore.com/se.jpg
Bokbörsen,25,100,https://onlineshopping.flysas.com/se/bokborsen/18562/,https://onlineshopping.flysas.com/Images/Shops/bokborsen/se.jpg
Bokus Play,125,,https://onlineshopping.flysas.com/se/bokus-play/18888/,https://onlineshopping.flysas.com/Images/Shops/bokus-play/se.jpg
Bonprix,50,100,https://onlineshopping.flysas.com/se/bonprix/18908/,https://onlineshopping.flysas.com/Images/Shops/bonprix/se.jpg
Bonti,25,100,https://onlineshopping.flysas.com/se/bonti-1/19338/,https://onlineshopping.flysas.com/Images/Shops/bonti-1/se.jpg
Boohoo,50,100,https://onlineshopping.flysas.com/se/boohoo/7346/,https://onlineshopping.flysas.com/Images/Shops/boohoo/se.jpg
Bookie,1,,https://onlineshopping.flysas.com/se/bookie/19451/,https://onlineshopping.flysas.com/Images/Shops/bookie/se.jpg
BOSE,25,100,https://onlineshopping.flysas.com/se/bose-1/19489/,https://onlineshopping.flysas.com/Images/Shops/bose-1/se.jpg
Boxer,750,,https://onlineshopping.flysas.com/se/boxer/18154/,https://onlineshopping.flysas.com/Images/Shops/boxer/se.jpg
BoxOffice,15,100,https://onlineshopping.flysas.com/se/boxoffice/6919/,https://onlineshopping.flysas.com/Images/Shops/boxoffice/se.jpg
Bra inne mobler,25,100,https://onlineshopping.flysas.com/se/brasommarmobler/19484/,https://onlineshopping.flysas.com/Images/Shops/brasommarmobler/se.jpg
Bubbleroom,25,100,https://onlineshopping.flysas.com/se/bubbleroom/7962/,https://onlineshopping.flysas.com/Images/Shops/bubbleroom/se.jpg
Buddy Pet Foods,25,100,https://onlineshopping.flysas.com/se/buddy-pet-foods/18812/,https://onlineshopping.flysas.com/Images/Shops/buddy-pet-foods/se.jpg
Budo & Fitness,25,100,https://onlineshopping.flysas.com/se/budo-fitness/9398/,https://onlineshopping.flysas.com/Images/Shops/budo-fitness/se.jpg
Bugaboo,25,100,https://onlineshopping.flysas.com/se/bugaboo/19397/,https://onlineshopping.flysas.com/Images/Shops/bugaboo/se.jpg
Buildor,25,100,https://onlineshopping.flysas.com/se/buildor/7547/,https://onlineshopping.flysas.com/Images/Shops/buildor/se.jpg
Buttericks,50,100,https://onlineshopping.flysas.com/se/buttericks-1/19345/,https://onlineshopping.flysas.com/Images/Shops/buttericks-1/se.jpg
Buyersclub,25,100,https://onlineshopping.flysas.com/se/buyers-club/18621/,https://onlineshopping.flysas.com/Images/Shops/buyers-club/se.jpg
Byflou,25,100,https://onlineshopping.flysas.com/se/byflou/8050/,https://onlineshopping.flysas.com/Images/Shops/byflou/se.jpg
BYIC,25,100,https://onlineshopping.flysas.com/se/byic/19475/,https://onlineshopping.flysas.com/Images/Shops/byic/se.jpg
Bythjul,15,100,https://onlineshopping.flysas.com/se/bythjul/18712/,https://onlineshopping.flysas.com/Images/Shops/bythjul/se.jpg
C More,200,,https://onlineshopping.flysas.com/se/c-more/7516/,https://onlineshopping.flysas.com/Images/Shops/c-more/se.jpg
Calixter,50,100,https://onlineshopping.flysas.com/se/calixter/18895/,https://onlineshopping.flysas.com/Images/Shops/calixter/se.jpg
Campadre,25,100,https://onlineshopping.flysas.com/se/campadre/8563/,https://onlineshopping.flysas.com/Images/Shops/campadre/se.jpg
Care of Beds,25,100,https://onlineshopping.flysas.com/se/care-of-beds/19411/,https://onlineshopping.flysas.com/Images/Shops/care-of-beds/se.jpg
Care of Carl,25,100,https://onlineshopping.flysas.com/se/care-of-carl/8593/,https://onlineshopping.flysas.com/Images/Shops/care-of-carl/se.jpg
Casall,50,100,https://onlineshopping.flysas.com/se/casall-2/19344/,https://onlineshopping.flysas.com/Images/Shops/casall-2/se.jpg
CChobby,50,100,https://onlineshopping.flysas.com/se/cchobby/19302/,https://onlineshopping.flysas.com/Images/Shops/cchobby/se.jpg
CDON.COM,25,100,https://onlineshopping.flysas.com/se/cdon.com/6711/,https://onlineshopping.flysas.com/Images/Shops/cdon.com/se.jpg
Cedvard,25,100,https://onlineshopping.flysas.com/se/cedvard/19266/,https://onlineshopping.flysas.com/Images/Shops/cedvard/se.jpg
Cellbes,25,100,https://onlineshopping.flysas.com/se/cellbes/7961/,https://onlineshopping.flysas.com/Images/Shops/cellbes/se.jpg
Cewe,50,100,https://onlineshopping.flysas.com/se/cewe/18199/,https://onlineshopping.flysas.com/Images/Shops/cewe/se.jpg
